,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,time_s,phase,color
0,0 days 00:00:00.000000000,4bb859,50.86491394042969,7.1395358523807015,,,,PGT13K  ,True,False,False,,,,1602460809.971,1602460809.971,0.0,LVL,4
1,0 days 00:00:10.000000000,4bb859,50.86516299490201,7.140388488769531,,,,PGT13K  ,True,False,False,,,,1602460819.59,1602460819.59,10.0,LVL,4
2,0 days 00:00:20.000000000,4bb859,50.86542892456055,7.141261745143582,,,,PGT13K  ,True,False,False,,,,1602460829.596,1602460829.596,20.0,LVL,4
3,0 days 00:00:30.000000000,4bb859,50.86569213867188,7.142115412531672,,,,PGT13K  ,True,False,False,,,,1602460839.577,1602460839.577,30.000000000000004,LVL,4
4,0 days 00:00:40.000000000,4bb859,50.86592102050781,7.1429134059596695,,,,PGT13K  ,True,False,False,,,,1602460849.7729998,1602460849.7729998,40.0,LVL,4
5,0 days 00:00:50.000000000,4bb859,50.86584964040982,7.143535614013673,,,,PGT13K  ,True,False,False,,,,1602460859.699,1602460859.699,50.0,LVL,4
6,0 days 00:01:00.000000000,4bb859,50.865577697753906,7.143915537241344,,,,PGT13K  ,True,False,False,,,,1602460869.98,1602460869.98,60.00000000000001,LVL,4
7,0 days 00:01:10.000000000,4bb859,50.86532592773438,7.144286696975295,,,,PGT13K  ,True,False,False,,,,1602460879.924,1602460879.924,70.0,LVL,4
8,0 days 00:01:20.000000000,4bb859,50.86508560180664,7.1446392987225495,,,,PGT13K  ,True,False,False,,,,1602460889.329,1602460889.644,80.0,LVL,4
9,0 days 00:01:30.000000000,4bb859,50.86481385311839,7.1450233459472665,,,,PGT13K  ,True,False,False,,,,1602460899.2589998,1602460899.696,90.0,LVL,4
10,0 days 00:01:40.000000000,4bb859,50.864499625513105,7.1454811096191415,,,,PGT13K  ,True,False,False,,,,1602460909.63,1602460909.63,100.0,LVL,4
11,0 days 00:01:50.000000000,4bb859,50.8641242980957,7.146031147724871,,,,PGT13K  ,True,False,False,,,,1602460919.954,1602460919.954,110.0,LVL,4
12,0 days 00:02:00.000000000,4bb859,50.86363840911348,7.146739959716798,,,,PGT13K  ,True,False,False,,,,1602460929.948,1602460929.948,120.00000000000001,LVL,4
13,0 days 00:02:10.000000000,4bb859,50.86315155029297,7.147441554713894,,,,PGT13K  ,True,False,False,,,,1602460938.525,1602460938.525,130.0,LVL,4
14,0 days 00:02:20.000000000,4bb859,50.86252212524414,7.148350896062078,,,,PGT13K  ,True,False,False,,,,1602460949.83,1602460949.83,140.0,LVL,4
15,0 days 00:02:30.000000000,4bb859,50.86198580467094,7.1491432189941415,,,,PGT13K  ,True,False,False,,,,1602460959.577,1602460959.577,150.0,LVL,4
16,0 days 00:02:40.000000000,4bb859,50.86147373005495,7.1498680114746085,,,,PGT13K  ,True,False,False,,,,1602460968.832,1602460968.832,160.0,LVL,4
17,0 days 00:02:50.000000000,4bb859,50.86147373005495,7.1498680114746085,,,,PGT13K  ,True,False,False,,,,1602460968.832,1602460968.832,170.0,LVL,4
18,0 days 00:03:00.000000000,4bb859,50.86147373005495,7.1498680114746085,,,,PGT13K  ,True,False,False,,,,1602460968.832,1602460968.832,180.0,LVL,4
19,0 days 00:03:10.000000000,4bb859,50.86147373005495,7.1498680114746085,,,,PGT13K  ,True,False,False,,,,1602460968.832,1602460968.832,190.0,LVL,4
20,0 days 00:03:20.000000000,4bb859,50.86147373005495,7.1498680114746085,,,,PGT13K  ,True,False,False,,,,1602460968.832,1602460968.832,200.0,LVL,4
21,0 days 00:03:30.000000000,4bb859,50.85886680473715,7.153644561767577,,,,PGT13K  ,True,False,False,,,,1602461011.705,1602461011.705,210.0,LVL,4
22,0 days 00:03:40.000000000,4bb859,50.8575210571289,7.155588510874156,,,,PGT13K  ,True,False,False,,,,1602461029.778,1602461029.778,220.0,LVL,4
23,0 days 00:03:50.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,230.00000000000003,LVL,4
24,0 days 00:04:00.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,240.00000000000003,LVL,4
25,0 days 00:04:10.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,250.00000000000003,LVL,4
26,0 days 00:04:20.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,260.0,LVL,4
27,0 days 00:04:30.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,270.0,LVL,4
28,0 days 00:04:40.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,280.0,LVL,4
29,0 days 00:04:50.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,290.0,LVL,4
30,0 days 00:05:00.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,300.0,LVL,4
31,0 days 00:05:10.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,310.0,LVL,4
32,0 days 00:05:20.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,320.0,LVL,4
33,0 days 00:05:30.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,330.0,LVL,4
34,0 days 00:05:40.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,340.0,LVL,4
35,0 days 00:05:50.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,350.0,LVL,4
36,0 days 00:06:00.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,360.0,LVL,4
37,0 days 00:06:10.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,370.0,LVL,4
38,0 days 00:06:20.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,380.0,LVL,4
39,0 days 00:06:30.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,390.0,LVL,4
40,0 days 00:06:40.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,400.0,LVL,4
41,0 days 00:06:50.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,410.0,LVL,4
42,0 days 00:07:00.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,420.0,LVL,4
43,0 days 00:07:10.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,430.0,LVL,4
44,0 days 00:07:20.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,440.0,LVL,4
45,0 days 00:07:30.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,450.0,LVL,4
46,0 days 00:07:40.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,460.00000000000006,LVL,4
47,0 days 00:07:50.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,470.00000000000006,LVL,4
48,0 days 00:08:00.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,480.00000000000006,LVL,4
49,0 days 00:08:10.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,490.00000000000006,LVL,4
50,0 days 00:08:20.000000000,4bb859,50.85708618164063,7.156219482421875,,,,PGT13K  ,True,False,False,,,,1602461035.789,1602461035.789,500.00000000000006,LVL,4
51,0 days 00:08:30.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,510.00000000000006,LVL,4
52,0 days 00:08:40.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,520.0,LVL,4
53,0 days 00:08:50.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,530.0,LVL,4
54,0 days 00:09:00.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,540.0,LVL,4
55,0 days 00:09:10.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,550.0,LVL,4
56,0 days 00:09:20.000000000,4bb859,50.85473529363082,7.1651458740234375,,,,PGT13K  ,True,False,False,,,,1602461310.73,1602461310.73,560.0,LVL,4
57,0 days 00:09:30.000000000,4bb859,50.858642578125,7.1607290731894,,,,PGT13K  ,True,False,False,,,,1602461377.391,1602461377.391,570.0,LVL,4
58,0 days 00:09:40.000000000,4bb859,50.8597412109375,7.159151644320103,66.99633266191934,317.4895529219991,-0.32512,PGT13K  ,False,False,False,,38.1,137.16,1602461380.7770002,1602461389.512,580.0,LVL,4
