time,icao24,velocity,vertrate,onground,baroaltitude,geoaltitude,time_s,phase,color
0 days 00:00:00.000000000,4bb859,,,True,,,0.0,LVL,4
0 days 00:00:10.000000000,4bb859,,,True,,,10.0,LVL,4
0 days 00:00:20.000000000,4bb859,,,True,,,20.0,LVL,4
0 days 00:00:30.000000000,4bb859,,,True,,,30.000000000000004,LVL,4
0 days 00:00:40.000000000,4bb859,,,True,,,40.0,LVL,4
0 days 00:00:50.000000000,4bb859,,,True,,,50.0,LVL,4
0 days 00:01:00.000000000,4bb859,,,True,,,60.00000000000001,LVL,4
0 days 00:01:10.000000000,4bb859,,,True,,,70.0,LVL,4
0 days 00:01:20.000000000,4bb859,,,True,,,80.0,LVL,4
0 days 00:01:30.000000000,4bb859,,,True,,,90.0,LVL,4
0 days 00:01:40.000000000,4bb859,,,True,,,100.0,LVL,4
0 days 00:01:50.000000000,4bb859,,,True,,,110.0,LVL,4
0 days 00:02:00.000000000,4bb859,,,True,,,120.00000000000001,LVL,4
0 days 00:02:10.000000000,4bb859,,,True,,,130.0,LVL,4
0 days 00:02:20.000000000,4bb859,,,True,,,140.0,LVL,4
0 days 00:02:30.000000000,4bb859,,,True,,,150.0,LVL,4
0 days 00:02:40.000000000,4bb859,,,True,,,160.0,LVL,4
0 days 00:02:50.000000000,4bb859,,,True,,,170.0,LVL,4
0 days 00:03:00.000000000,4bb859,,,True,,,180.0,LVL,4
0 days 00:03:10.000000000,4bb859,,,True,,,190.0,LVL,4
0 days 00:03:20.000000000,4bb859,,,True,,,200.0,LVL,4
0 days 00:03:30.000000000,4bb859,,,True,,,210.0,LVL,4
0 days 00:03:40.000000000,4bb859,,,True,,,220.0,LVL,4
0 days 00:03:50.000000000,4bb859,,,True,,,230.00000000000003,LVL,4
0 days 00:04:00.000000000,4bb859,,,True,,,240.00000000000003,LVL,4
0 days 00:04:10.000000000,4bb859,,,True,,,250.00000000000003,LVL,4
0 days 00:04:20.000000000,4bb859,,,True,,,260.0,LVL,4
0 days 00:04:30.000000000,4bb859,,,True,,,270.0,LVL,4
0 days 00:04:40.000000000,4bb859,,,True,,,280.0,LVL,4
